Distance,Value
28.26,"{'Distance': 28.26, 'Time': '2022-02-06 12:55:05.401258', 'value': 1}"
59.12,"{'Distance': 59.12, 'Time': '2022-02-06 12:55:07.249604', 'value': 0}"
59.17,"{'Distance': 59.17, 'Time': '2022-02-06 12:55:09.127341', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:55:10.979874', 'value': 0}"
17.74,"{'Distance': 17.74, 'Time': '2022-02-06 12:55:13.341352', 'value': 1}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:55:15.142825', 'value': 0}"
59.15,"{'Distance': 59.15, 'Time': '2022-02-06 12:55:16.925838', 'value': 0}"
58.67,"{'Distance': 58.67, 'Time': '2022-02-06 12:55:18.757579', 'value': 0}"
60.6,"{'Distance': 60.6, 'Time': '2022-02-06 12:55:20.581624', 'value': 0}"
59.46,"{'Distance': 59.46, 'Time': '2022-02-06 12:55:22.423745', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 12:55:24.267206', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:55:26.107012', 'value': 0}"
24.87,"{'Distance': 24.87, 'Time': '2022-02-06 12:55:28.426666', 'value': 1}"
59.2,"{'Distance': 59.2, 'Time': '2022-02-06 12:55:30.298145', 'value': 0}"
58.75,"{'Distance': 58.75, 'Time': '2022-02-06 12:55:32.141466', 'value': 0}"
48.07,"{'Distance': 48.07, 'Time': '2022-02-06 12:55:34.487705', 'value': 1}"
59.19,"{'Distance': 59.19, 'Time': '2022-02-06 12:55:36.304100', 'value': 0}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:55:38.131229', 'value': 0}"
59.19,"{'Distance': 59.19, 'Time': '2022-02-06 12:55:39.976449', 'value': 0}"
59.11,"{'Distance': 59.11, 'Time': '2022-02-06 12:55:41.824693', 'value': 0}"
11.92,"{'Distance': 11.92, 'Time': '2022-02-06 12:55:44.161691', 'value': 1}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:55:46.004594', 'value': 0}"
59.13,"{'Distance': 59.13, 'Time': '2022-02-06 12:55:47.845697', 'value': 0}"
32.45,"{'Distance': 32.45, 'Time': '2022-02-06 12:55:50.185755', 'value': 1}"
59.18,"{'Distance': 59.18, 'Time': '2022-02-06 12:55:52.045465', 'value': 0}"
